Class,FA Card,Description,Major Category,IHS Categorization,My Categorization,Parent,Sub-FA Card,Bar Code,Status,Remarks,Site New Code,Alternate Site ID,Acquisition Cost 31/12/17,Addition in Period,Disposal in Period,Acquisition Cost 31/07/18,Depreciation 31/12/17,Depreciation in Period,Disposal Depreciation in Period,Depreciation 31/07/18,Book Value 31/12/17,Book Value 31/07/18,Dep. Start date,Useful life
TW,FA/TW170911,EMERSON NETSURE 211 1KW 48V RECTIFIER SYSTEM SUNR,TOWER,Rectifier,Rectifier,Parent,,9000418303,F,"RECTIFIER CABINET, OPERATING, GOOD",IHS_OND_888A,IHS_OND_0888A,"87,271.91",0.00,0.00,"87,271.91","-27,424.60","-5,206.60",0.00,"-32,631.20","59,847.31","54,640.71",12/5/2014,9.77777778
TW,FA/TW168303,EMERSON NETSURE 211 1KW 48V RECTIFIER SYSTEM SUNR,TOWER,Rectifier,Rectifier,Parent,FA/TW168304,,NF,,IHS_OND_893A,IHS_OND_0893A,"127,724.21",0,0,"127,724.21","-41,767.00","-7,928.00",0,"-49,695.00","85,957.21","78,029.21",12/5/2014,9.39722222
TW,FA/TW267961,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"OPERATING, GOOD",IHS_OND_910A,IHS_OND_0910A,"13,650.00",0.00,0.00,"13,650.00","-1,024.00",-796.60,0.00,"-1,820.60","12,626.00","11,829.40",4/1/2017,10
TW,FA/TW267961,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"OPERATING, GOOD",IHS_OND_910A,IHS_OND_0910A,"13,650.00",0.00,0.00,"13,650.00","-1,024.00",-796.60,0.00,"-1,820.60","12,626.00","11,829.40",4/1/2017,10
TW,FA/TW267961,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"OPERATING, GOOD",IHS_OND_910A,IHS_OND_0910A,"13,650.00",0.00,0.00,"13,650.00","-1,024.00",-796.60,0.00,"-1,820.60","12,626.00","11,829.40",4/1/2017,10
TW,FA/TW267961,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"OPERATING, GOOD",IHS_OND_910A,IHS_OND_0910A,"13,650.00",0.00,0.00,"13,650.00","-1,024.00",-796.60,0.00,"-1,820.60","12,626.00","11,829.40",4/1/2017,10
TW,FA/TW267961,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"IDLE, BAD",IHS_OND_910A,IHS_OND_0910A,"13,650.00",0.00,0.00,"13,650.00","-1,024.00",-796.60,0.00,"-1,820.60","12,626.00","11,829.40",4/1/2017,10
TW,FA/TW267981,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"IDLE, BAD",IHS_OND_910A,IHS_OND_0910A,"11,375.00",0.00,0.00,"11,375.00",-853.33,-663.83,0.00,"-1,517.17","10,521.67","9,857.83",4/1/2017,10
TW,FA/TW267981,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"IDLE, BAD",IHS_OND_910A,IHS_OND_0910A,"11,375.00",0.00,0.00,"11,375.00",-853.33,-663.83,0.00,"-1,517.17","10,521.67","9,857.83",4/1/2017,10
TW,FA/TW267981,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"IDLE, BAD",IHS_OND_910A,IHS_OND_0910A,"11,375.00",0.00,0.00,"11,375.00",-853.33,-663.83,0.00,"-1,517.17","10,521.67","9,857.83",4/1/2017,10
TW,FA/TW267981,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"IDLE, BAD",IHS_OND_910A,IHS_OND_0910A,"11,375.00",0.00,0.00,"11,375.00",-853.33,-663.83,0.00,"-1,517.17","10,521.67","9,857.83",4/1/2017,10
TW,FA/TW267981,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"IDLE, BAD",IHS_OND_910A,IHS_OND_0910A,"11,375.00",0.00,0.00,"11,375.00",-853.33,-663.83,0.00,"-1,517.17","10,521.67","9,857.83",4/1/2017,10
TW,FA/TW267981,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,,F,"IDLE, BAD",IHS_OND_910A,IHS_OND_0910A,"11,375.00",0.00,0.00,"11,375.00",-853.33,-663.83,0.00,"-1,517.17","10,521.67","9,857.83",4/1/2017,10
TW,FA/TW267959,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,9000487832,F,"OPERATING, GOOD",IHS_OND_905A,IHS_OND_0905A,"13,650.00",0.00,0.00,"13,650.00","-1,024.00",-796.60,0.00,"-1,820.60","12,626.00","11,829.40",4/1/2017,10
TW,FA/TW267959,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,9000487833,F,"OPERATING, GOOD",IHS_OND_905A,IHS_OND_0905A,"13,650.00",0.00,0.00,"13,650.00","-1,024.00",-796.60,0.00,"-1,820.60","12,626.00","11,829.40",4/1/2017,10
TW,FA/TW267959,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,9000487834,F,"OPERATING, GOOD",IHS_OND_905A,IHS_OND_0905A,"13,650.00",0.00,0.00,"13,650.00","-1,024.00",-796.60,0.00,"-1,820.60","12,626.00","11,829.40",4/1/2017,10
TW,FA/TW267959,RECTIFIER MODULE- R48 -3200 EMERSON,TOWER,Rectifier,Rectifier,Parent,,9000487835,F,"OPERATING, GOOD",IHS_OND_905A,IHS_OND_0905A,"13,650.00",0.00,0.00,"13,650.00","-1,024.00",-796.60,0.00,"-1,820.60","12,626.00","11,829.40",4/1/2017,10
